link,result
/article/5773/galley/21578/download/,"AbbreviationsDOM = differential object marking, DU = dual, EPEN = epenthetic vowel, F = feminine, M = masculine, PL = plural, POSS = possessive, SG = singular, SUFF = suffix"
/article/5882/galley/18379/download/,Competing InterestsThe author has no competing interests to declare.
/article/5707/galley/21100/download/,"AbbreviationsIn addition to the usual abbreviations in the glosses (SG = singular, PL = plural), we use the following abbreviations:class = classifiercop = copulafact.pst = factual pastind = individuatorperf = perfectiveprep =prepositionprog = progressivespec = specificity marker"
/article/5804/galley/18425/download/,"Abbreviationsacc = accusative, adj = adjunct, cmpr = comparative, comp = complementiser, dat = dative, def = definite, dem = demonstrative, gen = genitive, gf = grammatical function, inf = infinitive, masc = masculine, neg = negation, nom = nominative, obj = primary object, objθ = secondary object, oblθ = oblique, pl = plural, prs = present, pst = past, ptcp = participle, recp = reciprocal, rel = relativizer, sg = singular, subj = subject"
/article/5781/galley/21072/download/,Abbreviationsba = the marker in the disposal ba construction in Mandarin; cl = classifier; de = the marker in noun phrases denoting a modification relation; perf = perfective aspect
/article/5836/galley/20204/download/,"Abbreviations1 = first person 2 = second person, 3 = third person, pro = pronoun, CL = Classifier, ASL = American Sign Language, CSL = Chinese Sign Language, LIS = Italian Sign Language, bef = before, aft = after; h = horizontal; s = sagittal; v = vertical."
/article/5726/galley/18589/download/,AbbreviationsAErgative/Nominative/GenitivedefDefinite DeterminerfutFutureimpImperfective aspectindIndicativenegNegationplPluralpresPresentreflReflexivesgSingularssStatussubjSubjunctivetopTopic Marker
/article/5695/galley/18016/download/,"Abbreviations3fs = 3rd person feminine singular, 3ms = 3rd person masculine singular, appl = applicative, comp = complementizer, c.quot = quotative complementizer, decl = declarative clause type marker, fut = future, imp = imperfect, neg = negative, nf = nonfuture, perf = perfect, pst = past tense."
/article/5875/galley/18378/download/,"Funding InformationWork on this paper was funded by DFG Grant KR951/10-1, “Anaphoric Potential of Incorporated Nominals and Weak Definites” (ANAPIN)."
/article/5705/galley/18387/download/,AbbreviationsØ – Null1SG – First person singular2SG – Second person singular3SG – Third person singular3PL – Third person pluralDEF – Definite determinerFOC – Focus markerINDEF – Indefinite determinerLOC – LocativeNEG – Negation markerPAST – Past tensePOSS – Possessive pronounPROG – Progressive aspectPROS – Prospective aspectQ – Quantifier
